번호,메시지,등록일
1,"[삼성전자 갤럭시노트7 리콜 실시 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2015-12-09
2,"[삼성전자 갤럭시노트7 리콜 실시 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2016-09-21
3,"[삼성전자 갤럭시노트7 리콜 실시 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2016-09-21
4,"[다운이불,표시부적합에 따른 환급교환 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-01-16
5,"[전기찜질기 7개제품,자발적 교환·환급 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-01-23
6,"[동충하초 판매중단 및 교환 또는 환불 외]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-02
7,"[IMUSA 커피메이커 판매중지 외]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-06
8,"[과열에 따른 감전 위험성 있는 암염램프 외]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-07
9,"[사용 중 폭발한 미인증 쉐이빙폼 일괄 시정]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-08
10,"[압타밀 분유 세슘 검출 논란 관련 공지]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-09
11,"['포켓몬고'게임 안전하게 이용하세요!]
- 확인경로 : 안전이슈-알기쉬운 안전이야기",2017-02-16
12,"[CMIT/MIT 검출된 헤어미스트 리콜 조치]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-02-24
13,"[KTM 690 DUKE/690 DUKE R 리콜 안내 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-03-02
14,"[수입 분유 방사능 시험 결과 공지]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-03-17
15,"[키위워치(KIWIWATCH) 보호캡 무상제공]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-03
16,"[리퀴드오일 폰케이스누액에 의한 화상 주의]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-07
17,"[어린이 안전 포스터 공모전 개최 안내]
- 확인경로 : CISS소개 - 공지사항",2017-04-17
18,"[후지필름 플래시 펌웨어 업그레이드안내 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-18
19,"[(주)하성전자 전기 이발기 무상교환 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-21
20,"[KC인증 없이 유통된 일회용 핫팩 회수 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-24
21,"[발화위험 있는 유아용 잠옷 판매 중지 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-04-26
22,"[모바일 앱 어린이 안전신고 경진대회 개최]
- 확인경로 : 안전이슈 - 보도자료",2017-05-11
23,"[위해정보신고 앱 다운로드 이벤트 개최]
- 확인경로 : CISS소개 - 공지사항",2017-05-22
24,"[위해정보신고 앱 다운로드 이벤트 개최]
- 확인경로 : CISS소개 - 공지사항",2017-05-22
25,"[위해정보신고 앱 다운로드 이벤트 개최]
- 확인경로 : CISS소개 - 공지사항",2017-05-22
26,"[2017 소비자안전모니터 합격자 발표]
- 확인경로 : CISS소개 - 공지사항",2017-07-18
27,"[내구성 문제가 발생한 전기믹서 안내]
- 확인경로 : CISS소개 - 공지사항",2017-08-11
28,"[LG전자 LED TV, 모니터 무상수리 안내 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-08-31
29,"[Jix社의 오토바이 헬멧 판매 중지 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-09-01
30,"[가을철 안전사고 예방가이드]
- 확인경로 : 안전이슈-알기쉬운안전이야기",2017-10-13
31,"['더 커진 쫄면떡볶이', 교환·환불 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-10-20
32,"[Boxer 유니콘 키우기 완구 판매 중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-10-23
33,"[Siroca 전기오븐 2종 판매중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-10-26
34,"[스마트폰 케이스 2개 제품 판매 중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-10-30
35,"[Toothette 구강 스프레이 판매 중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2017-12-26
36,"[해외 직구 시 리콜제품 여부 확인 필요]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-01-29
37,"[기아자동차 K7 써모스탯 무상수리 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-02-06
38,"[즐거운 설 연휴를 위한 안전이야기]
- 확인경로 : 안전이슈-알기쉬운안전이야기",2018-02-13
39,"[미인증 피젯스피너 판매 중단]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-03-07
40,"[Disney 색년필 판매 중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-03-21
41,"[마라톤 킥스쿠터 MA-01 무상수리]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-04-30
42,"[대진침대 라돈 검출 매트리스 관련 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-05-09
43,"[장난감공 질식 위험 있어 판매중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-05-17
44,"[화상 발생한 해피바디족욕기 무상수리 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-05-18
45,"[싼타페 DM·맥스크루즈 차량 조치 안내 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-06-21
46,"[2018 소비자안전 모니터 모집 안내]
- 확인경로 : 안전이슈-보도자료",2018-06-25
47,"[㈜리큅, 전기믹서 부품 자발적 무상 교환]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-07-02
48,"[피젯펜, 안전 표시 미흡 관련 조치 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-07-19
49,"[휴대용 DVD플레이어 자발적 무상 수리]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-07-30
50,"[화재사고 발생한 BMW 차량 리콜 관련 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-08-08
51,"[멜라루카, MIT 포함된 세정제 2종 회수]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-08-27
52,"[미키하우스 유아용 샌들 판매중단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-09-07
53,"[CMIT,MIT 검출 해외직구 화장품 판매차단]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-11-01
54,"[Kangaroo 슬라임 완구 판매차단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-12-04
55,"[장난감 독성 성분 함유로 판매차단 등]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-12-05
56,"[기아자동차, 쏘렌토 차량 인터쿨러 누유 관련 조치 안내]
- 확인경로 : 안전이슈-위해정보 처리속보",2018-12-07
